SHIPPER_CLEANED,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barakat Timbers & Trading Co.,,,,,,,,,,,,,,23008.0,,,,,
Compagnie Forestière de Kribi SA,,,,,,,,,,,,13644.0,32488.333333333332,,,,,,
Durable Wood Products Enterprises,,,,,,15945.375,14760.76923076923,21204.0625,8218.333333333334,16515.0,,,,,,,,,
GS Forest Resources,,,,16988.333333333332,,18298.0,7570.0,11060.555555555555,10245.25,24795.333333333332,30560.333333333332,27667.875,25034.0,26251.333333333332,,,,,
Getma Cameroun Douala,,,,,,,,35472.0,,,,,,,,,,,
Holland Freight Bridge B.V.,,,,23006.0,15469.0,,6375.5,,,,,,,,,,,,
Hupkes Wijma B.V.,,,,,,,,,,,,,,,,,24653.0,29260.0,20729.3
McVantage of Guyana,,,,,,,,,,38705.2,,,,17075.0,,,,,
Not Available,,,,,,,,,,,,,,,,,,32027.0,27207.0
Rafeek Khan T A Durable Wood Products Enterprises,,,,,,,,,8259.0,,,,,,,,,,
Reginald Manbodh T/A Gs Forest,,,,,,,,,,,,,,25876.5,27104.25,29000.0,,,
SDV Cameroun,44215.857142857145,,,,,,,,,,,,,,,,,,
Timber Wood Products,,,,,25342.0,,,,,,,,,,,,,,
Toolsie Persaud Limited/Interior Forest Industrie,,,,15000.0,,,10545.5,10656.5,,,,,,,,,,,
Toolsie Persaud Limited/Interior Forest Industries,,,,,,,,10891.0,,,,,,,,,,,
Trade-Linc,,,,,,,,,,,,,,,,,,25393.0,
Variety Woods & Greenheart,,,39245.16129032258,43352.35294117647,33353.88,77515.6,16290.555555555555,221385.75,10888.285714285714,161837.25,28032.8,36659.791666666664,67867.94117647059,48109.8,69159.92857142857,26373.625,66236.2,24621.0,25069.0
Wijma Kampen B.V.,86790.0,41536.5,37668.2,60641.333333333336,50215.0,,38000.0,15229.0,49447.0,22166.25,18785.333333333332,38638.666666666664,55311.0,27878.666666666668,18627.14285714286,,,,
