Value,Pixels_2000,Area_2000,Pixels_pct_2000,Pixels_2020,Area_2020,Pixels_pct_2020,Pixel_difference
0,15077,0.0009423125,0.00258870482000114,22641,0.0014150625,0.0038874475672761423,7564
3,488,3.05e-05,8.378907953575356e-05,4307,0.0002691875,0.0007395095919905634,3819
4,594,3.71e-05,0.00010198916648409347,4073,0.0002545625,0.0006993319173850858,3479
5,868,5.43e-05,0.00014903467425621738,3787,0.0002366875,0.0006502258706450577,2919
6,990,6.19e-05,0.00016998194414015577,3923,0.0002451875,0.0006735769977661899,2933
7,950,5.94e-05,0.00016311398680115958,4372,0.00027325,0.0007506700571587516,3422
8,1011,6.32e-05,0.00017358762174312877,4236,0.00026475,0.0007273189300376193,3225
9,940,5.88e-05,0.00016139699746641053,3629,0.0002268125,0.0006230973553131541,2689
10,2479,0.0001549375,0.00042564165608428904,4502,0.000281375,0.0007729909874951281,2023
11,3236,0.00020225,0.000555617748724792,5844,0.00036525,0.0010034116683521831,2608
12,4214,0.000263375,0.000723539305663249,6498,0.000406125,0.001115703117890569,2284
13,4579,0.0002861875,0.0007862094163815892,6751,0.0004219375,0.00115914308231444,2172
14,6190,0.000386875,0.0010628163982096608,8445,0.0005278125,0.0014500019745438374,2255
15,8487,0.0005304375,0.0014572088484015172,10464,0.000654,0.001796663192614176,1977
16,11025,0.0006890625,0.0018929807415608258,12713,0.0007945625,0.002182815287433488,1688
17,14575,0.0009109375,0.0025025119553967376,16069,0.0010043125,0.0027590386890402516,1494
18,15644,0.00097775,0.002686058115281411,17020,0.00106375,0.0029223248794240514,1376
19,21901,0.0013688125,0.0037603783420338908,23456,0.001466,0.00402738263053881,1555
20,32936,0.0020585,0.005655076072929466,36421,0.0022763125,0.006253466182932043,3485
21,40949,0.0025593125,0.007030899626863878,46010,0.002875625,0.007899892344435992,5061
22,54322,0.003395125,0.00932702946422378,59438,0.003714875,0.010205472748719552,5116
23,85117,0.0053198125,0.014614498120583474,91181,0.0056988125,0.015655728838470294,6064
24,135013,0.0084383125,0.023181588105247324,153938,0.009621125,0.02643107210862395,18925
25,223218,0.013951125,0.03832629253240131,241827,0.0151141875,0.04152156631119154,18609
26,246395,0.0153996875,0.04230575871354918,280040,0.0175025,0.04808271793383733,33645
27,461571,0.0288481875,0.0792512484229453,483074,0.030192125,0.08294354693319002,21503
28,665594,0.041599625,0.11428177992729581,653171,0.0408231875,0.11214911068262556,-12423
29,668781,0.0417988125,0.11482898442828032,718553,0.0449095625,0.12337516504610989,49772
30,699503,0.0437189375,0.12010391906249634,717418,0.044838625,0.12318028615432691,17915
31,578624,0.036164,0.09934912368298333,614053,0.0383783125,0.10543257104494577,35429
32,401444,0.02509025,0.06892750664989969,365568,0.022848,0.0627678297016035,-35876
33,279528,0.0174705,0.0479946594763732,210910,0.013181875,0.036213133978808855,-68618
34,115955,0.0072471875,0.019909349831082588,47013,0.0029383125,0.008072106906954344,-68942
35,62724,0.00392025,0.01076964390327993,18927,0.0011829375,0.0032497557575122808,-43797
36,28064,0.001754,0.004818558869039729,4677,0.0002923125,0.0008030383937171732,-23387
37,11158,0.000697375,0.0019158166997129882,1046,6.54e-05,0.0001795976394757672,-10112
38,1869,0.0001168125,0.0003209053066645971,254,1.59e-05,4.3611663887997006e-05,-1615
39,255,1.59e-05,4.378322803610073e-05,50,3.12e-06,8.584973206298623e-06,-205
40,33,2.06e-06,5.666064804671859e-06,2,1.25e-07,3.433989282519449e-07,-31
