Value,Pixels_2000,Area_2000,Pixels_pct_2000,Pixels_2020,Area_2020,Pixels_pct_2020,Pixel_difference,pct_difference
0,1333613,0.0833508125,0.01813229156157808,1723113,0.1076945625,0.023428076443125175,389500,0.0052957848815470936
3,26519,0.0016574375,0.00036056205205069924,87226,0.005451625,0.0011859566933962173,60707,0.000825394641345518
4,100486,0.006280375,0.0013662445176049836,122519,0.0076574375,0.0016658132680417669,22033,0.0002995687504367833
5,345406,0.021587875,0.004696266682402195,301924,0.01887025,0.004105069459759241,-43482,-0.0005911972226429535
6,164862,0.010303875,0.0022415242288616605,232080,0.014505,0.003155444814658406,67218,0.0009139205857967457
7,139613,0.0087258125,0.0018982295626891765,206965,0.0129353125,0.0028139720616415765,67352,0.0009157424989524
8,104608,0.006538,0.0014222887416916001,159267,0.0099541875,0.002165452556429681,54659,0.0007431638147380808
9,97180,0.00607375,0.0013212949288542912,150173,0.0093858125,0.0020418071964481937,52993,0.0007205122675939025
10,109831,0.0068644375,0.001493302565661614,130756,0.00817225,0.0017778065416471673,20925,0.0002845039759855532
11,122818,0.007676125,0.0016698785817249057,138352,0.008647,0.0018810845441124605,15534,0.00021120596238755475
12,147606,0.009225375,0.002006905322787266,159561,0.0099725625,0.0021694498882786537,11955,0.0001625445654913878
13,146056,0.0091285,0.0019858309541957437,161758,0.010109875,0.0021993211062112826,15702,0.00021349015201553882
14,157889,0.0098680625,0.002146716762933476,175089,0.0109430625,0.002380574272465209,17200,0.0002338575095317333
15,203892,0.01274325,0.002772190426363029,226628,0.01416425,0.00308131742268358,22736,0.0003091269963205511
16,239028,0.01493925,0.00324991237141576,262001,0.0163750625,0.003562261706675789,22973,0.0003123493352600289
17,334101,0.0208813125,0.004542559755352414,347187,0.0216991875,0.0047204818117321965,13086,0.00017792205637978242
18,441156,0.02757225,0.0059981188066849525,453817,0.0283635625,0.006170262407160608,12661,0.00017214360047565578
19,503143,0.0314464375,0.006840916797577019,551093,0.0344433125,0.00749286258723089,47950,0.0006519457896538711
20,671187,0.0419491875,0.00912570466570205,753483,0.0470926875,0.010244631270610392,82296,0.0011189266049083432
21,835493,0.0522183125,0.011359669314604429,980817,0.0613010625,0.013335547728278241,145324,0.0019758784136738126
22,1019866,0.063741625,0.01386647225674944,1220936,0.0763085,0.016600293735909065,201070,0.0027338214791596243
23,1472969,0.0920605625,0.020027026857991116,1720286,0.107517875,0.023389639514087603,247317,0.003362612656096487
24,1914445,0.1196528125,0.026029496502062703,2211238,0.138202375,0.03006480300360059,296793,0.0040353065015378865
25,2423358,0.151459875,0.03294886433626752,2886523,0.1804076875,0.039246225580585256,463165,0.006297361244317734
26,3010894,0.188180875,0.04093721932000219,3580360,0.2237725,0.0486798879550602,569466,0.007742668635058014
27,4044915,0.2528071875,0.05499614814927614,4883417,0.3052135625,0.06639672893168179,838502,0.011400580782405648
28,5469328,0.341833,0.07436298981931244,6379503,0.3987189375,0.08673806300175692,910175,0.012375073182444477
29,6429235,0.4018271875,0.08741423751710763,7376076,0.46100475,0.1002878350858597,946841,0.012873597568752074
30,8842283,0.5526426875,0.12022292331132445,9210003,0.5756251875,0.12522257932324357,367720,0.0049996560119191236
31,9448785,0.5905490625,0.12846914698841835,9388643,0.5867901875,0.1276514342943336,-60142,-0.0008177126940847601
32,12285563,0.7678476875,0.16703902130088405,11004255,0.6877659375,0.14961788770651863,-1281308,-0.017421133594365423
33,8237553,0.5148470625,0.11200079239625904,5358923,0.3349326875,0.07286188293908855,-2878630,-0.039138909457170495
34,2338485,0.1461553125,0.031794899894029914,913095,0.0570684375,0.012414774573597541,-1425390,-0.019380125320432373
35,363758,0.022734875,0.004945787206525821,88860,0.00555375,0.001208173156801732,-274898,-0.0037376140497240888
36,22519,0.0014074375,0.00030617658471773806,3047,0.0001904375,4.142812974088316e-05,-19472,-0.0002647484549768549
37,546,3.41e-05,7.423616290949198e-06,73,4.56e-06,9.92534778826541e-07,-473,-6.431081512122657e-06
38,69,4.31e-06,9.3814931149358e-07,12,7.5e-07,1.6315640199888346e-07,-57,-7.749929094946965e-07
39,2,1.25e-07,2.7192733666480577e-08,1,6.25e-08,1.3596366833240289e-08,-1,-1.3596366833240289e-08
